Gene	Virus	Virus_num	Virally_targeted
AK1	Human cytomegalovirus	1	Specific
AK2	Human cytomegalovirus	1	Specific
AK3	Human papillomavirus 18	1	Specific
AK4	SARS-CoV-2	1	Specific
AK5	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
AK6	Hepatitis C virus	1	Specific
AKAP1	Dengue virus 2,Influenza A virus (H3N2)	2	Specific
AKAP10	Human papillomavirus 8	1	Specific
AKAP11	Epstein-Barr virus,Influenza A virus (H1N1),Influenza A virus (H3N2)	3	Specific
AKAP12	Epstein-Barr virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
AKAP17A	Human papillomavirus 31,MERS-CoV	2	Specific
AKAP8	Human cytomegalovirus,Human papillomavirus 16,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),SARS-CoV-2	6	Specific
AKAP8L	Dengue virus 2,Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 16,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus ,MERS-CoV,SARS-CoV-2	10	Specific
AKAP9	Dengue virus 2,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),MERS-CoV,Murid herpesvirus 4,SARS-CoV-1,SARS-CoV-2	8	Specific
AKIP1	Human papillomavirus 33,Human papillomavirus 39,Human papillomavirus 9	3	Specific
AKIRIN2	Vaccinia virus	1	Specific
AKNA	Human cytomegalovirus	1	Specific
AKR1A1	Human papillomavirus 1a,Human papillomavirus 9,SARS-CoV-2	3	Specific
AKR1B1	Influenza A virus (H1N1),SARS-CoV-2	2	Specific
AKR1B10	Human cytomegalovirus,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus	3	Specific
AKR1B15	Human cytomegalovirus	1	Specific
AKR1C3	Influenza A virus (H1N1)	1	Specific
AKR7A2	SARS-CoV-2	1	Specific
AKR7A3	Dengue virus 2	1	Specific
AKT1	Hepatitis B virus,Myxoma virus	2	Specific
AKT1S1	Human cytomegalovirus,Kaposi's sarcoma-associated herpesvirus	2	Specific
ALB	Hepatitis B virus,Hepatitis E virus,Influenza A virus (H1N1),Murid herpesvirus 4	4	Specific
ALCAM	Human cytomegalovirus	1	Specific
ALDH18A1	Human papillomavirus 31,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
ALDH1A1	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
ALDH1A2	Influenza A virus (H1N1)	1	Specific
ALDH1A3	Human papillomavirus 8	1	Specific
ALDH1B1	Influenza A virus (H1N1)	1	Specific
ALDH1L1	Hepatitis E virus,Influenza A virus (H3N2)	2	Specific
ALDH1L2	Influenza A virus (H1N1)	1	Specific
ALDH2	Influenza A virus (H1N1),SARS-CoV-1	2	Specific
ALDH3A1	Human cytomegalovirus	1	Specific
ALDH3A2	Dengue virus 2,Hepatitis C virus,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Lymphocytic choriomeningitis virus	6	Specific
ALDH4A1	Bovine leukemia virus,Human cytomegalovirus	2	Specific
ALDH5A1	Epstein-Barr virus,SARS-CoV-1,SARS-CoV-2	3	Specific
ALDH7A1	MERS-CoV,SARS-CoV-2	2	Specific
