Gene	Virus	Virus_num	Virally_targeted
POGLUT2	SARS-CoV-2	1	Specific
POGLUT3	SARS-CoV-2	1	Specific
POGZ	Epstein-Barr virus,Human papillomavirus 11,Murid herpesvirus 4	3	Specific
POLA1	Human herpesvirus 1,Human papillomavirus 11,Macaca mulatta polyomavirus 1,SARS-CoV-1,SARS-CoV-2	5	Specific
POLA2	Human cytomegalovirus,Human papillomavirus 9,SARS-CoV-1,SARS-CoV-2	4	Specific
POLB	Epstein-Barr virus,Hepatitis C virus,Kaposi's sarcoma-associated herpesvirus	3	Specific
POLD1	Avian infectious bronchitis virus,Epstein-Barr virus,Human cytomegalovirus,Sandfly fever sicilian virus,SARS-CoV-1,SARS-CoV-2	6	Specific
POLD2	Epstein-Barr virus	1	Specific
POLD3	Influenza A virus (H1N1),SARS-CoV-2	2	Specific
POLDIP2	Epstein-Barr virus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 31,Human papillomavirus 33,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 6,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1),Measles virus ,SARS-CoV-1	16	Pan
POLDIP3	Human immunodeficiency virus 2	1	Specific
POLE	Dengue virus 2,Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	4	Specific
POLE3	Human immunodeficiency virus 1,Human papillomavirus 8	2	Specific
POLE4	Human immunodeficiency virus 1,Human papillomavirus 33,Influenza A virus (H1N1)	3	Specific
POLG	Hepatitis B virus	1	Specific
POLM	Human papillomavirus 33,Human T-cell leukemia virus 1,Human T-cell leukemia virus 2	3	Specific
POLR1A	Ebola virus,Human herpesvirus 1	2	Specific
POLR1B	SARS-CoV-2	1	Specific
POLR1C	Human papillomavirus 16,Human papillomavirus 33,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1)	5	Specific
POLR1D	Human herpesvirus 1	1	Specific
POLR2A	Epstein-Barr virus,Equid alphaherpesvirus 1,Human cytomegalovirus,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus,La Crosse virus,Walleye dermal sarcoma virus	12	Specific
POLR2B	Human cytomegalovirus,Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus,La Crosse virus	8	Specific
POLR2C	Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
POLR2D	Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
POLR2E	Human cytomegalovirus,Human papillomavirus 18,Human papillomavirus 31,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	5	Specific
POLR2F	Human cytomegalovirus	1	Specific
POLR2G	Hepatitis B virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 33,Human papillomavirus 39,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	7	Specific
POLR2H	Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Measles virus 	5	Specific
POLR2I	Epstein-Barr virus,Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	4	Specific
POLR2J	Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
POLR2K	Human cytomegalovirus,Kaposi's sarcoma-associated herpesvirus	2	Specific
POLR2L	Human cytomegalovirus,Human papillomavirus 32,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	4	Specific
POLR2M	Human cytomegalovirus,Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus	3	Specific
POLR3F	Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Influenza A virus (H7N7),Influenza A virus (H9N2)	5	Specific
POLR3GL	Human papillomavirus 33	1	Specific
POLRMT	Dengue virus 2,Influenza A virus (H1N1),Zika virus	3	Specific
POM121	Ebola virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H4N6),Influenza A virus (H5N1),Influenza A virus (H7N7),Kaposi's sarcoma-associated herpesvirus	8	Specific
POM121C	Dengue virus 2,Ebola virus,Human cytomegalovirus	3	Specific
POMGNT1	SARS-CoV-1,SARS-CoV-2	2	Specific
POMP	Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 5,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1)	12	Specific
POMT1	SARS-CoV-1,SARS-CoV-2	2	Specific
POMT2	Hepatitis delta virus	1	Specific
PON2	Ebola virus,Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1)	8	Specific
PON3	Hepatitis C virus,Human cytomegalovirus	2	Specific
POP1	Ebola virus,Epstein-Barr virus,Human cytomegalovirus,Human polyomavirus (type JC),Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Zika virus	8	Specific
POP4	MERS-CoV,Rubella virus	2	Specific
POP5	Human T-cell leukemia virus 1	1	Specific
POP7	Human papillomavirus 5	1	Specific
POR	Dengue virus 2,Hepatitis C virus,Human immunodeficiency virus 1,MERS-CoV,SARS-CoV-2	5	Specific
POTEE	Human herpesvirus 1,Lake Victoria marburgvirus 	2	Specific
POTEF	Human herpesvirus 1,Lake Victoria marburgvirus 	2	Specific
POTEI	Lake Victoria marburgvirus 	1	Specific
POTEJ	Lake Victoria marburgvirus 	1	Specific
POU2AF1	Human herpesvirus 1	1	Specific
POU2F1	Epstein-Barr virus,Human adenovirus C,Human immunodeficiency virus 1	3	Specific
POU2F2	Human papillomavirus 5	1	Specific
POU3F2	Hepatitis C virus	1	Specific
POU5F1	Human adenovirus A,Human adenovirus B,Human adenovirus C,Human papillomavirus 16	4	Specific
PPA1	Influenza A virus (H1N1),SARS-CoV-2	2	Specific
PPA2	Human cytomegalovirus,SARS-CoV-1,SARS-CoV-2	3	Specific
PPAN	Ebola virus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Zika virus	5	Specific
PPARG	Hepatitis C virus	1	Specific
PPBP	Hepatitis delta virus,Vaccinia virus	2	Specific
PPFIA1	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 31	3	Specific
PPFIA2	Human papillomavirus 31	1	Specific
PPFIBP1	Influenza A virus (H1N1),Murid herpesvirus 4,SARS-CoV-2	3	Specific
PPFIBP2	Human cytomegalovirus,Murid herpesvirus 4	2	Specific
PPHLN1	Human cytomegalovirus,Human immunodeficiency virus 2,Influenza A virus (H1N1)	3	Specific
PPIA	Hepatitis C virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 8,Human papillomavirus 9,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Simian immunodeficiency virus	9	Specific
PPIB	Hepatitis C virus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),SARS-CoV-2	5	Specific
PPIC	SARS-CoV-2	1	Specific
PPID	Human cytomegalovirus	1	Specific
PPIE	Hepatitis E virus,Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	4	Specific
PPIF	Human cytomegalovirus	1	Specific
PPIG	Human papillomavirus 16,Human papillomavirus 8,Human papillomavirus 9,SARS-CoV-2,Vaccinia virus,Zika virus	6	Specific
PPIH	Influenza A virus (H1N1)	1	Specific
PPIL1	Human cytomegalovirus	1	Specific
PPIL3	Chicken anemia virus,Human cytomegalovirus,SARS-CoV-1,SARS-CoV-2	4	Specific
PPIL4	Influenza A virus (H1N1)	1	Specific
PPL	Human cytomegalovirus,Human herpesvirus 1,Human papillomavirus 8	3	Specific
PPM1A	Epstein-Barr virus,Human adenovirus C,Human cytomegalovirus,Merkel cell polyomavirus,SARS-CoV-1	5	Specific
PPM1B	Epstein-Barr virus,Human adenovirus C,Human cytomegalovirus,Human papillomavirus 5,Human papillomavirus 8,Human polyomavirus 1,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1,Merkel cell polyomavirus	9	Specific
PPM1F	Human cytomegalovirus	1	Specific
PPM1G	Dengue virus 2,Human immunodeficiency virus 1,Human polyomavirus (type JC),Influenza A virus (H1N1),Merkel cell polyomavirus,Zika virus	6	Specific
PPME1	Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 33,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 6,Human papillomavirus 8,Human papillomavirus 9	11	Specific
PPOX	Human cytomegalovirus	1	Specific
PPP1CA	Epstein-Barr virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 16,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	6	Specific
PPP1CB	Dengue virus 2,Human papillomavirus 31,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	4	Specific
PPP1CC	Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	3	Specific
PPP1R10	Kaposi's sarcoma-associated herpesvirus,Zika virus	2	Specific
PPP1R11	Human cytomegalovirus	1	Specific
PPP1R12A	Human immunodeficiency virus 1	1	Specific
PPP1R12B	SARS-CoV-1	1	Specific
PPP1R12C	Influenza A virus (H3N2)	1	Specific
PPP1R13B	Human adenovirus C,Zika virus	2	Specific
PPP1R13L	Hepatitis C virus,Human adenovirus C	2	Specific
PPP1R16B	Human adenovirus C,Human papillomavirus 33,Human papillomavirus 8	3	Specific
PPP1R18	Human papillomavirus 16,Human papillomavirus 8,Human T-cell leukemia virus 1,Macaca mulatta polyomavirus 1	4	Specific
PPP1R21	Influenza A virus (H1N1)	1	Specific
PPP1R3E	Alkhumra hemorrhagic fever virus	1	Specific
PPP1R7	Kaposi's sarcoma-associated herpesvirus,MERS-CoV	2	Specific
PPP1R8	Human cytomegalovirus	1	Specific
PPP1R9B	Variola virus	1	Specific
PPP2CA	Avian leukosis virus,Hepatitis B virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 6b,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1,Measles virus ,Murine polyomavirus,Mus musculus polyomavirus 1	11	Specific
PPP2CB	Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Measles virus 	4	Specific
PPP2R1A	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human polyomavirus (type JC),Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Macaca mulatta polyomavirus 1,Measles virus ,Merkel cell polyomavirus,MERS-CoV,Sendai virus,Simian virus 40	14	Specific
PPP2R1B	HCoV-229E,Human cytomegalovirus,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1,Measles virus 	5	Specific
PPP2R2A	Ebola virus,Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 18,Human papillomavirus 31,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,MERS-CoV,Sendai virus	11	Specific
PPP2R2B	Human cytomegalovirus	1	Specific
PPP2R2C	SARS-CoV-2	1	Specific
PPP2R2D	Human cytomegalovirus,Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus	3	Specific
PPP2R3A	Kaposi's sarcoma-associated herpesvirus	1	Specific
PPP2R3B	Hepatitis C virus	1	Specific
PPP2R5A	HCoV-229E,Kaposi's sarcoma-associated herpesvirus,Measles virus ,Murid herpesvirus 4	4	Specific
PPP2R5C	Influenza A virus (H1N1),Measles virus 	2	Specific
PPP2R5D	Influenza A virus (H1N1),Measles virus ,Rubella virus	3	Specific
PPP2R5E	Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus,Measles virus 	3	Specific
PPP3CA	African swine fever virus	1	Specific
PPP3CB	Influenza A virus (H1N1)	1	Specific
PPP3CC	Human herpesvirus 1	1	Specific
PPP3R1	African swine fever virus	1	Specific
PPP4C	Human cytomegalovirus	1	Specific
PPP4R2	Human cytomegalovirus,Human polyomavirus (type JC),SARS-CoV-1	3	Specific
PPP4R3A	Human cytomegalovirus	1	Specific
PPP4R3B	Hepatitis C virus,Human cytomegalovirus	2	Specific
PPP5C	Human papillomavirus 39,Kaposi's sarcoma-associated herpesvirus	2	Specific
PPP6C	Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus 	4	Specific
PPP6R1	Epstein-Barr virus,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus	5	Specific
PPP6R2	Kaposi's sarcoma-associated herpesvirus	1	Specific
PPP6R3	Epstein-Barr virus,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Measles virus 	6	Specific
PPRC1	Kunjin virus 	1	Specific
PPT1	Human respiratory syncytial virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,SARS-CoV-2	4	Specific
PPWD1	Zika virus	1	Specific
PQBP1	Dengue virus 2,Zika virus	2	Specific
PRAF2	Epstein-Barr virus,Human adenovirus C,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),Merkel cell polyomavirus,Recombinant Hepatitis C virus,SARS-CoV-1,SARS-CoV-2,Zika virus	13	Specific
PRAMEF20	Kaposi's sarcoma-associated herpesvirus	1	Specific
PRC1	Human papillomavirus 31,Influenza A virus (H1N1)	2	Specific
PRCP	Macaca mulatta polyomavirus 1	1	Specific
PRDM14	Human herpesvirus 1	1	Specific
PRDX1	Hepatitis C virus,Human herpesvirus 1,Influenza A virus (H1N1),La Crosse virus,Lymphocytic choriomeningitis virus,Measles virus ,Sendai virus	7	Specific
PRDX2	Influenza A virus (H1N1),La Crosse virus	2	Specific
PRDX3	Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Measles virus 	3	Specific
PRDX4	Human herpesvirus 1,Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus,La Crosse virus,SARS-CoV-2,Vaccinia virus	6	Specific
PRDX5	Influenza A virus (H1N1),SARS-CoV-2	2	Specific
PRDX6	Dengue virus 2,Human papillomavirus 16,Influenza A virus (H1N1)	3	Specific
PREB	Dengue virus 2,Epstein-Barr virus,Hepatitis delta virus,Human adenovirus C,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 6b,Influenza A virus (H1N1)	10	Specific
PRELID3B	Human papillomavirus 9	1	Specific
PREPL	Human herpesvirus 1,Influenza A virus (H1N1),Influenza A virus (H4N6),Influenza A virus (H5N1),Influenza A virus (H7N7),Influenza A virus (H9N2),Zika virus	7	Specific
PRIM1	SARS-CoV-1,SARS-CoV-2	2	Specific
PRIM2	Human cytomegalovirus,Human papillomavirus 8,SARS-CoV-1,SARS-CoV-2	4	Specific
PRKAA1	Human papillomavirus 5	1	Specific
PRKAA2	Human papillomavirus 16,Human papillomavirus 8	2	Specific
PRKAB2	Human papillomavirus 33	1	Specific
PRKACA	Adeno-associated virus 2,Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 31,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,MERS-CoV,SARS-CoV-1,SARS-CoV-2	9	Specific
PRKACB	Epstein-Barr virus,Human cytomegalovirus	2	Specific
PRKAR1A	Epstein-Barr virus,Human adenovirus A,Human papillomavirus 18,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),MERS-CoV	8	Specific
PRKAR1B	Influenza A virus (H1N1)	1	Specific
PRKAR2A	Human adenovirus A,Human respiratory syncytial virus,MERS-CoV,SARS-CoV-1,SARS-CoV-2,Vaccinia virus	6	Specific
PRKAR2B	Human adenovirus A,MERS-CoV,SARS-CoV-2	3	Specific
PRKCA	Human cytomegalovirus,Human immunodeficiency virus 1	2	Specific
PRKCI	Human papillomavirus 31	1	Specific
PRKCQ	Human immunodeficiency virus 1	1	Specific
PRKCSH	Ebola virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Lake Victoria marburgvirus ,SARS-CoV-2	7	Specific
PRKD2	Human cytomegalovirus	1	Specific
PRKDC	Dengue virus 2,Ebola virus,Hepatitis C virus,Human adenovirus C,Human herpesvirus 1,Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Lymphocytic choriomeningitis virus,Measles virus ,SARS-CoV-1,SARS-CoV-2,Zika virus	14	Specific
PRKN	Hepatitis C virus	1	Specific
PRKRA	Dengue virus 2,Ebola virus,Human cytomegalovirus,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Influenza A virus (H7N7),MERS-CoV	8	Specific
PRKRIP1	Influenza A virus (H1N1)	1	Specific
PRKX	Adeno-associated virus 2	1	Specific
PRMT1	Dengue virus 2,Epstein-Barr virus,Human immunodeficiency virus 1,Influenza B virus,Kaposi's sarcoma-associated herpesvirus,Zika virus	6	Specific
PRMT2	Epstein-Barr virus,Kaposi's sarcoma-associated herpesvirus	2	Specific
PRMT3	Kaposi's sarcoma-associated herpesvirus	1	Specific
PRMT5	Dengue virus 2,Epstein-Barr virus,Human papillomavirus 16,Human respiratory syncytial virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	6	Specific
PRMT6	Kaposi's sarcoma-associated herpesvirus	1	Specific
PRMT7	Kaposi's sarcoma-associated herpesvirus	1	Specific
PRMT8	Kaposi's sarcoma-associated herpesvirus	1	Specific
PRND	Hepatitis delta virus	1	Specific
PRNP	Hepatitis delta virus,Human papillomavirus 18,Human papillomavirus 33,Human papillomavirus 5	4	Specific
PROCR	Epstein-Barr virus,SARS-CoV-2	2	Specific
PROM2	Human papillomavirus 8	1	Specific
PRORP	Influenza A virus (H1N1)	1	Specific
PROS1	Hepatitis C virus,SARS-CoV-2	2	Specific
PROSER3	SARS-CoV-1	1	Specific
PRPF19	Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus	4	Specific
PRPF3	Dengue virus 2,Human cytomegalovirus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,Murid herpesvirus 4	5	Specific
PRPF31	Human adenovirus C,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 33,Human papillomavirus 5,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1)	12	Specific
PRPF38A	Dengue virus 2,Lymphocytic choriomeningitis virus,Zika virus	3	Specific
PRPF38B	Human herpesvirus 1	1	Specific
PRPF39	Dengue virus 2,Epstein-Barr virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),SARS-CoV-2	6	Specific
PRPF4	Human immunodeficiency virus 2,Kaposi's sarcoma-associated herpesvirus	2	Specific
PRPF40A	SARS-CoV-2	1	Specific
PRPF40B	SARS-CoV-1	1	Specific
PRPF4B	Human immunodeficiency virus 1,Human immunodeficiency virus 2	2	Specific
PRPF6	Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2)	3	Specific
PRPF8	Dengue virus 2,Epstein-Barr virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 5,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Measles virus 	8	Specific
PRPH	Human papillomavirus 16	1	Specific
PRPS1	Influenza A virus (H1N1)	1	Specific
PRPS2	Human cytomegalovirus,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
PRPSAP1	Dengue virus 2,Influenza A virus (H1N1)	2	Specific
PRPSAP2	Influenza A virus (H1N1)	1	Specific
PRR14L	Influenza A virus (H1N1)	1	Specific
PRR15	Hepatitis C virus	1	Specific
PRR22	Human herpesvirus 1	1	Specific
PRR3	Dengue virus 2,Kaposi's sarcoma-associated herpesvirus	2	Specific
PRRC1	Hepatitis C virus,SARS-CoV-1	2	Specific
PRRC2A	Human cytomegalovirus,Human enterovirus 71,Human immunodeficiency virus 1,Influenza A virus (H1N1)	4	Specific
PRRC2B	Human cytomegalovirus,Influenza A virus (H1N1),Murid herpesvirus 4,SARS-CoV-2,Zika virus	5	Specific
PRRC2C	Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Murid herpesvirus 4,Porcine reproductive and respiratory syndrome virus	5	Specific
PRRG3	Influenza A virus (H3N2)	1	Specific
PRSS1	Influenza A virus (H1N1)	1	Specific
PRSS12	Zika virus	1	Specific
PRSS2	Kaposi's sarcoma-associated herpesvirus	1	Specific
PRSS21	Human immunodeficiency virus 1	1	Specific
PRSS22	Human cytomegalovirus	1	Specific
PRSS35	Influenza A virus (H1N1)	1	Specific
PRTFDC1	Human papillomavirus 18	1	Specific
PRTN3	Hendra virus	1	Specific
PRXL2A	Hepatitis C virus,Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2	4	Specific
PSAP	Hepatitis E virus,Influenza A virus (H3N2)	2	Specific
PSAT1	Human cytomegalovirus,Human papillomavirus 5,SARS-CoV-2	3	Specific
PSD3	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
PSEN1	Dengue virus 2,Human cytomegalovirus,Human papillomavirus 9,SARS-CoV-1	4	Specific
PSEN2	Ebola virus,Human papillomavirus 18,SARS-CoV-1,SARS-CoV-2	4	Specific
PSIP1	Human immunodeficiency virus 1,Influenza A virus (H1N1),La Crosse virus	3	Specific
PSMA1	Dengue virus 2,Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human T-cell leukemia virus 1,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1	7	Specific
PSMA2	Epstein-Barr virus,Human papillomavirus 1a,Human papillomavirus 33,Human papillomavirus 5,Human papillomavirus 8,Human papillomavirus 9,Influenza A virus (H1N1)	7	Specific
PSMA3	Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1	3	Specific
PSMA4	Epstein-Barr virus,Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1,SARS-CoV-1	9	Specific
PSMA5	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human papillomavirus 18,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,SARS-CoV-1	7	Specific
PSMA6	Epstein-Barr virus,Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Macaca mulatta polyomavirus 1	8	Specific
PSMA7	Epstein-Barr virus,Hepatitis B virus,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus	9	Specific
PSMB1	Epstein-Barr virus,Hepatitis E virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 9,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1	9	Specific
PSMB10	Human immunodeficiency virus 1,Human papillomavirus 33	2	Specific
PSMB2	Dengue virus 2,Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 33,Influenza A virus (H1N1)	6	Specific
PSMB3	Epstein-Barr virus,Human immunodeficiency virus 1,Influenza A virus (H1N1)	3	Specific
PSMB4	Epstein-Barr virus,Hepatitis C virus,Hepatitis E virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 18,Influenza A virus (H1N1)	7	Specific
PSMB5	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 8,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Murid herpesvirus 4	6	Specific
PSMB6	Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus	5	Specific
PSMB7	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1)	4	Specific
PSMB8	Epstein-Barr virus,Hepatitis B virus,Hepatitis C virus,Human immunodeficiency virus 1	4	Specific
PSMB9	Epstein-Barr virus,Hepatitis C virus	2	Specific
PSMC1	Dengue virus 1,Dengue virus 2,Dengue virus 3,Dengue virus 4,Epstein-Barr virus,Hepatitis B virus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Influenza A virus (H1N1)	11	Specific
PSMC2	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 9,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Measles virus ,Merkel cell polyomavirus,SARS-CoV-1	11	Specific
PSMC3	Dengue virus 2,Epstein-Barr virus,Hepatitis B virus,Human adenovirus C,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Influenza A virus (H1N1),Merkel cell polyomavirus	11	Specific
PSMC4	Dengue virus 2,Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1,Merkel cell polyomavirus,MERS-CoV,SARS-CoV-1,SARS-CoV-2	14	Specific
PSMC5	Dengue virus 2,Epstein-Barr virus,Human adenovirus A,Human adenovirus C,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Human papillomavirus 16,Human papillomavirus 18,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1,Measles virus ,SARS-CoV-1	12	Specific
PSMC6	Dengue virus 2,Epstein-Barr virus,Human adenovirus C,Human cytomegalovirus,Human papillomavirus 16,Human papillomavirus 18,Human respiratory syncytial virus,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1	9	Specific
PSMD1	Dengue virus 2,Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 6b,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1	10	Specific
PSMD10	Human cytomegalovirus	1	Specific
PSMD11	Epstein-Barr virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Influenza A virus (H1N1),Influenza A virus (H3N2),Lymphocytic choriomeningitis virus,SARS-CoV-1	10	Specific
PSMD12	Epstein-Barr virus,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Influenza A virus (H1N1),La Crosse virus,SARS-CoV-1	7	Specific
PSMD13	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),Kunjin virus ,Lymphocytic choriomeningitis virus	8	Specific
PSMD14	Epstein-Barr virus,Human papillomavirus 16,Human papillomavirus 18,Influenza A virus (H1N1)	4	Specific
