Gene	Virus	Abbre	Baltimore	Family
SRBD1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GPAT4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
XRCC6	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GALNT2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DAP3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EXOSC3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FKBP8	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ANKS1B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
AGPAT5	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
AGGF1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SCAMP3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
WRNIP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ANKRD12	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HAUS6	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NCAPG2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATP2A1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SDCCAG8	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BRAT1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RCC2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SFXN1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BNIP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TOMM40	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TOP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TUBA1B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SLC25A11	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FUNDC2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SLC3A2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATXN2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CHCHD6	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NPM1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ERLEC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GADD45GIP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
VAPA	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DAD1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
WFS1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BRIX1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FAM184A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
VPS37A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TM9SF3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CCT4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TMED9	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
KLHL22	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PSME2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
POM121C	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TMEM43	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ALG1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BMS1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ARF4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ILVBL	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ZC3HAV1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TMED10	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ZC3H4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ZC3H8	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
LARP7	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATP1A1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
APOA1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EML2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FUCA2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ATP5F1C	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GRWD1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RUVBL1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GOLGA2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RPS27L	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ANKRD50	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RFC4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
UBE3A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NDUFA5	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
UFL1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DHX57	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
UQCRH	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RMDN3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EMD	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPS25	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TNPO1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SEC61G	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PA2G4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPS35	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPS9	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPS7	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MSI1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HAX1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SEC61A1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HLA-A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HNRNPF	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
YIPF2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HSD17B12	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GC	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
WDR6	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ABCC4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FAM120A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CAT	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ANAPC5	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ANP32A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FASN	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ANP32B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NAP1L4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ZNF507	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CCDC88C	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CCNK	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
AMER1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PRKRA	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
AGK	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RFC2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CAMTA2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RFC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MTMR14	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ACTB	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NDUFS5	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
G3BP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HSPB1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NDUFS3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NOMO1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NTPCR	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RPF2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SSR3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
