Virus	Abbre	Carrier	Carrier TaxId	Carrier Taxa
Kaposi's sarcoma-associated herpesvirus	KSHV	macaca fascicularis	9541	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	mandrillus leucophaeus	9568	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	macaca mulatta	9544	primates
Kaposi's sarcoma-associated herpesvirus	KSHV	sus scrofa	9823	mammals
Lymphocytic choriomeningitis virus	LCMV	homo sapiens	9606	primates
Lymphocytic choriomeningitis virus	LCMV	callimico goeldii	9495	primates
Lymphocytic choriomeningitis virus	LCMV	macaca mulatta	9544	primates
Lymphocytic choriomeningitis virus	LCMV	microtus levis	537919	rodents
Lymphocytic choriomeningitis virus	LCMV	meriones unguiculatus	10047	rodents
Lymphocytic choriomeningitis virus	LCMV	myodes glareolus	447135	rodents
Lymphocytic choriomeningitis virus	LCMV	cavia porcellus	10141	rodents
Lymphocytic choriomeningitis virus	LCMV	mus musculus	10090	rodents
Lymphocytic choriomeningitis virus	LCMV	sciurus carolinensis	30640	rodents
Lymphocytic choriomeningitis virus	LCMV	dermacentor silvarum	543639	invertebrates
Lymphocytic choriomeningitis virus	LCMV	cricetulus griseus	10029	rodents
Lymphocytic choriomeningitis virus	LCMV	apodemus sylvaticus	10129	rodents
Lymphocytic choriomeningitis virus	LCMV	rattus rattus	10117	rodents
Lymphocytic choriomeningitis virus	LCMV	microtus arvalis	47230	rodents
Lymphocytic choriomeningitis virus	LCMV	mesocricetus auratus	10036	rodents
Lymphocytic choriomeningitis virus	LCMV	mustela erminea	36723	mammals
Lymphocytic choriomeningitis virus	LCMV	haemaphysalis longicornis	44386	invertebrates
Lymphocytic choriomeningitis virus	LCMV	callithrix pygmaea	9493	primates
Lymphocytic choriomeningitis virus	LCMV	papio cynocephalus	9556	primates
Lymphocytic choriomeningitis virus	LCMV	mus spretus	10096	rodents
Lymphocytic choriomeningitis virus	LCMV	chionomys roberti	269650	rodents
Lymphocytic choriomeningitis virus	LCMV	vulpes vulpes	9627	mammals
Lymphocytic choriomeningitis virus	LCMV	apodemus flavicollis	54292	rodents
